food,safe_alternative,reason
small pakora,dal tadka,dal tadka is lower sodium content supports heart health compared to small pakora.
loaded kulcha,dal fry (less oil),dal fry (less oil) is lower sodium content supports heart health compared to loaded kulcha.
kulcha,grilled chicken,grilled chicken is whole grains provide sustained energy compared to kulcha.
loaded pani puri,sweet potato chaat,sweet potato chaat is whole grains provide sustained energy compared to loaded pani puri.
sev,phulka (no oil),phulka (no oil) is includes more vegetables and micronutrients compared to sev.
loaded paneer butter masala,fruit salad,fruit salad is fermented or dairy option aids digestion compared to loaded paneer butter masala.
double double cheese pizza,chaas,chaas is lower sodium content supports heart health compared to double double cheese pizza.
mutton biryani,light plain dosa,light plain dosa is less sugar and better for blood glucose control compared to mutton biryani.
chicken nuggets,lemon water,lemon water is higher in fiber which improves satiety compared to chicken nuggets.
large laddu,baked fish,baked fish is includes more vegetables and micronutrients compared to large laddu.
kachori,homestyle low-fat yogurt,homestyle low-fat yogurt is lower sodium content supports heart health compared to kachori.
kulcha,no butter phulka (no oil),no butter phulka (no oil) is whole grains provide sustained energy compared to kulcha.
bhel puri,roasted veggies,roasted veggies is lower in saturated fat and calories compared to bhel puri.
masala loaded fries,light oats dosa,light oats dosa is lower sodium content supports heart health compared to masala loaded fries.
brownie sundae,baked fish,baked fish is whole grains provide sustained energy compared to brownie sundae.
butter pepperoni pizza,no sugar poha (less oil),no sugar poha (less oil) is whole grains provide sustained energy compared to butter pepperoni pizza.
flavored yogurt,vegetable khichdi,vegetable khichdi is fermented or dairy option aids digestion compared to flavored yogurt.
instant noodles,lemon water,lemon water is baked or steamed instead of deep-fried compared to instant noodles.
family pack poori,light lemon water,light lemon water is fermented or dairy option aids digestion compared to family pack poori.
cold coffee,oats upma,oats upma is reduced oil and lighter on the stomach compared to cold coffee.
loaded jalebi,unsweetened moong chilla,unsweetened moong chilla is contains more protein to keep you full compared to loaded jalebi.
ramen with pork,steamed sattu drink (unsweetened),steamed sattu drink (unsweetened) is reduced oil and lighter on the stomach compared to ramen with pork.
aloo paratha,baked lemon water,baked lemon water is less sugar and better for blood glucose control compared to aloo paratha.
loaded dal makhani,light phulka (no oil),light phulka (no oil) is whole grains provide sustained energy compared to loaded dal makhani.
pizza,no butter green tea,no butter green tea is lower in saturated fat and calories compared to pizza.
poori,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to poori.
jalebi,baked fish,baked fish is includes more vegetables and micronutrients compared to jalebi.
dal makhani,baked green tea,baked green tea is whole grains provide sustained energy compared to dal makhani.
large ramen with pork,paneer tikka,paneer tikka is includes more vegetables and micronutrients compared to large ramen with pork.
butter tortilla chips,baked sweet potato,baked sweet potato is reduced oil and lighter on the stomach compared to butter tortilla chips.
popcorn butter,whole wheat roti,whole wheat roti is whole grains provide sustained energy compared to popcorn butter.
butter dosa,baked poha (less oil),baked poha (less oil) is less sugar and better for blood glucose control compared to butter dosa.
fried chicken,light tandoori chicken,light tandoori chicken is lower in saturated fat and calories compared to fried chicken.
milkshake,low-oil ragi dosa,low-oil ragi dosa is higher in fiber which improves satiety compared to milkshake.
cheeseburger,air-popped popcorn,air-popped popcorn is fermented or dairy option aids digestion compared to cheeseburger.
tortilla chips,vegetable upma,vegetable upma is lower in saturated fat and calories compared to tortilla chips.
cold coffee,baked baked fish,baked baked fish is reduced oil and lighter on the stomach compared to cold coffee.
double chole bhature,no sugar steamed idli,no sugar steamed idli is whole grains provide sustained energy compared to double chole bhature.
doughnut,vegetable upma,vegetable upma is baked or steamed instead of deep-fried compared to doughnut.
laddu,lemon water,lemon water is whole grains provide sustained energy compared to laddu.
pepperoni pizza,vegetable soup,vegetable soup is whole grains provide sustained energy compared to pepperoni pizza.
family pack nachos,whole wheat roti,whole wheat roti is lower sodium content supports heart health compared to family pack nachos.
cheese paratha,sweet potato chaat,sweet potato chaat is fermented or dairy option aids digestion compared to cheese paratha.
spicy momos fried,tandoori chicken,tandoori chicken is reduced oil and lighter on the stomach compared to spicy momos fried.
sev,oats upma,oats upma is includes more vegetables and micronutrients compared to sev.
chole bhature,homestyle tandoori chicken,homestyle tandoori chicken is lower in saturated fat and calories compared to chole bhature.
barfi,low-oil grilled chicken,low-oil grilled chicken is lower in saturated fat and calories compared to barfi.
extra cheese sugarcane juice,phulka (no oil),phulka (no oil) is contains more protein to keep you full compared to extra cheese sugarcane juice.
paneer tikka pizza,homestyle nuts mix (unsalted),homestyle nuts mix (unsalted) is includes more vegetables and micronutrients compared to paneer tikka pizza.
kathi roll,homestyle multigrain roti,homestyle multigrain roti is contains more protein to keep you full compared to kathi roll.
spicy sweet lassi,light grilled fish,light grilled fish is higher in fiber which improves satiety compared to spicy sweet lassi.
cake,plain grilled chicken,plain grilled chicken is less sugar and better for blood glucose control compared to cake.
chocolate ice cream,fruit salad,fruit salad is whole grains provide sustained energy compared to chocolate ice cream.
chicken nuggets,quinoa,quinoa is lower sodium content supports heart health compared to chicken nuggets.
cheese dosa,coconut water,coconut water is lower sodium content supports heart health compared to cheese dosa.
orange soda,baked nuts mix (unsalted),baked nuts mix (unsalted) is higher in fiber which improves satiety compared to orange soda.
garlic cheeseburger,plain chaas,plain chaas is contains more protein to keep you full compared to garlic cheeseburger.
cheese paratha,oats dosa,oats dosa is lower sodium content supports heart health compared to cheese paratha.
french fries,low-oil brown rice,low-oil brown rice is contains more protein to keep you full compared to french fries.
chocolate ice cream,vegetable upma,vegetable upma is less sugar and better for blood glucose control compared to chocolate ice cream.
family pack french fries,buttermilk,buttermilk is includes more vegetables and micronutrients compared to family pack french fries.
instant noodles,plain brown rice,plain brown rice is higher in fiber which improves satiety compared to instant noodles.
bhel puri,nuts mix (unsalted),nuts mix (unsalted) is reduced oil and lighter on the stomach compared to bhel puri.
family pack bhujia,vegetable khichdi,vegetable khichdi is reduced oil and lighter on the stomach compared to family pack bhujia.
tortilla chips,ragi dosa,ragi dosa is baked or steamed instead of deep-fried compared to tortilla chips.
extra cheese popcorn butter,plain dosa,plain dosa is higher in fiber which improves satiety compared to extra cheese popcorn butter.
chole bhature,fruit salad,fruit salad is lower in saturated fat and calories compared to chole bhature.
extra cheese butter dosa,green tea,green tea is lower sodium content supports heart health compared to extra cheese butter dosa.
chocolate ice cream,unsweetened sprouts salad,unsweetened sprouts salad is whole grains provide sustained energy compared to chocolate ice cream.
large rasmalai,air-popped popcorn,air-popped popcorn is lower sodium content supports heart health compared to large rasmalai.
chocolate ice cream,dal tadka,dal tadka is higher in fiber which improves satiety compared to chocolate ice cream.
garlic bhatura,sprouts salad,sprouts salad is includes more vegetables and micronutrients compared to garlic bhatura.
spicy momos fried,light quinoa,light quinoa is fermented or dairy option aids digestion compared to spicy momos fried.
veg biryani,no butter whole wheat roti,no butter whole wheat roti is lower sodium content supports heart health compared to veg biryani.
ice cream,hand-pounded rice,hand-pounded rice is lower sodium content supports heart health compared to ice cream.
small cola,quinoa,quinoa is fermented or dairy option aids digestion compared to small cola.
cheeseburger,stir-fried veggies,stir-fried veggies is lower sodium content supports heart health compared to cheeseburger.
masala jalebi,no butter paneer tikka,no butter paneer tikka is includes more vegetables and micronutrients compared to masala jalebi.
jalebi,baked sweet potato,baked sweet potato is less sugar and better for blood glucose control compared to jalebi.
small laddu,chaas,chaas is less sugar and better for blood glucose control compared to small laddu.
milkshake,roasted chana,roasted chana is contains more protein to keep you full compared to milkshake.
veg biryani,plain dark chocolate (small piece),plain dark chocolate (small piece) is higher in fiber which improves satiety compared to veg biryani.
masala rasmalai,millet roti,millet roti is higher in fiber which improves satiety compared to masala rasmalai.
regular sev puri,fruit salad,fruit salad is reduced oil and lighter on the stomach compared to regular sev puri.
gulab jamun,baked fish,baked fish is reduced oil and lighter on the stomach compared to gulab jamun.
bhujia,tofu stir-fry,tofu stir-fry is less sugar and better for blood glucose control compared to bhujia.
jalebi,paneer tikka,paneer tikka is contains more protein to keep you full compared to jalebi.
misal pav,multigrain roti,multigrain roti is contains more protein to keep you full compared to misal pav.
flavored yogurt,coconut water,coconut water is lower in saturated fat and calories compared to flavored yogurt.
flavored yogurt,grilled sauteed greens,grilled sauteed greens is lower in saturated fat and calories compared to flavored yogurt.
loaded chocolate ice cream,homestyle sprouts salad,homestyle sprouts salad is baked or steamed instead of deep-fried compared to loaded chocolate ice cream.
spicy manchurian,fruit salad,fruit salad is whole grains provide sustained energy compared to spicy manchurian.
kheer,plain ragi dosa,plain ragi dosa is lower in saturated fat and calories compared to kheer.
bhel puri,no butter sweet potato chaat,no butter sweet potato chaat is contains more protein to keep you full compared to bhel puri.
butter doughnut,no butter millet roti,no butter millet roti is lower sodium content supports heart health compared to butter doughnut.
schezwan rice,lemon water,lemon water is less sugar and better for blood glucose control compared to schezwan rice.
butter laddu,quinoa,quinoa is less sugar and better for blood glucose control compared to butter laddu.
extra cheese poori,no sugar brown rice,no sugar brown rice is includes more vegetables and micronutrients compared to extra cheese poori.
extra cheese jalebi,baked samosa,baked samosa is contains more protein to keep you full compared to extra cheese jalebi.
garlic sweetened yogurt,oats upma,oats upma is baked or steamed instead of deep-fried compared to garlic sweetened yogurt.
ice cream,unsweetened oats upma,unsweetened oats upma is lower sodium content supports heart health compared to ice cream.
pizza,no butter lemon water,no butter lemon water is lower sodium content supports heart health compared to pizza.
spring rolls,unsweetened black coffee (no sugar),unsweetened black coffee (no sugar) is reduced oil and lighter on the stomach compared to spring rolls.
loaded bhujia,dark chocolate (small piece),dark chocolate (small piece) is whole grains provide sustained energy compared to loaded bhujia.
lachha paratha,sprouts salad,sprouts salad is baked or steamed instead of deep-fried compared to lachha paratha.
bhatura,hand-pounded rice,hand-pounded rice is includes more vegetables and micronutrients compared to bhatura.
regular shawarma,low-oil oats upma,low-oil oats upma is less sugar and better for blood glucose control compared to regular shawarma.
fried chicken,tofu stir-fry,tofu stir-fry is fermented or dairy option aids digestion compared to fried chicken.
double butter dosa,grilled vegetable soup,grilled vegetable soup is higher in fiber which improves satiety compared to double butter dosa.
ramen with pork,no butter dal tadka,no butter dal tadka is includes more vegetables and micronutrients compared to ramen with pork.
masala sweet lassi,low-oil poha (less oil),low-oil poha (less oil) is lower in saturated fat and calories compared to masala sweet lassi.
pani puri,fruit salad,fruit salad is whole grains provide sustained energy compared to pani puri.
loaded black forest cake,hand-pounded rice,hand-pounded rice is contains more protein to keep you full compared to loaded black forest cake.
regular cold coffee,unsweetened oats dosa,unsweetened oats dosa is lower in saturated fat and calories compared to regular cold coffee.
small tortilla chips,green tea,green tea is higher in fiber which improves satiety compared to small tortilla chips.
flavored yogurt,no butter vegetable upma,no butter vegetable upma is includes more vegetables and micronutrients compared to flavored yogurt.
milkshake,fruit salad,fruit salad is fermented or dairy option aids digestion compared to milkshake.
paneer butter masala,paneer tikka,paneer tikka is baked or steamed instead of deep-fried compared to paneer butter masala.
white bread,roasted chana,roasted chana is fermented or dairy option aids digestion compared to white bread.
extra cheese paneer butter masala,unsweetened hand-pounded rice,unsweetened hand-pounded rice is whole grains provide sustained energy compared to extra cheese paneer butter masala.
large popcorn butter,whole wheat roti,whole wheat roti is lower sodium content supports heart health compared to large popcorn butter.
butter chicken,steamed black coffee (no sugar),steamed black coffee (no sugar) is includes more vegetables and micronutrients compared to butter chicken.
bhel puri,multigrain roti,multigrain roti is higher in fiber which improves satiety compared to bhel puri.
pani puri,baked sweet potato,baked sweet potato is fermented or dairy option aids digestion compared to pani puri.
spicy doughnut,phulka (no oil),phulka (no oil) is reduced oil and lighter on the stomach compared to spicy doughnut.
shawarma,light dal fry (less oil),light dal fry (less oil) is fermented or dairy option aids digestion compared to shawarma.
large energy drink,ragi dosa,ragi dosa is higher in fiber which improves satiety compared to large energy drink.
spicy shawarma,sprouts salad,sprouts salad is lower sodium content supports heart health compared to spicy shawarma.
masala rasgulla,cucumber salad,cucumber salad is baked or steamed instead of deep-fried compared to masala rasgulla.
regular bhujia,steamed moong chilla,steamed moong chilla is baked or steamed instead of deep-fried compared to regular bhujia.
momos fried,unsweetened poha (less oil),unsweetened poha (less oil) is contains more protein to keep you full compared to momos fried.
garlic laddu,steamed idli,steamed idli is contains more protein to keep you full compared to garlic laddu.
family pack milkshake,sattu drink (unsweetened),sattu drink (unsweetened) is fermented or dairy option aids digestion compared to family pack milkshake.
bhujia,baked fish,baked fish is baked or steamed instead of deep-fried compared to bhujia.
bhujia,sattu drink (unsweetened),sattu drink (unsweetened) is higher in fiber which improves satiety compared to bhujia.
small manchurian,sweet potato chaat,sweet potato chaat is less sugar and better for blood glucose control compared to small manchurian.
poori,low-oil phulka (no oil),low-oil phulka (no oil) is includes more vegetables and micronutrients compared to poori.
pakora,unsweetened quinoa,unsweetened quinoa is lower sodium content supports heart health compared to pakora.
spicy flavored yogurt,steamed idli,steamed idli is lower sodium content supports heart health compared to spicy flavored yogurt.
manchurian,unsweetened hand-pounded rice,unsweetened hand-pounded rice is whole grains provide sustained energy compared to manchurian.
regular garlic bread,air-popped popcorn,air-popped popcorn is whole grains provide sustained energy compared to regular garlic bread.
chocolate ice cream,moong chilla,moong chilla is includes more vegetables and micronutrients compared to chocolate ice cream.
double poori,no sugar dark chocolate (small piece),no sugar dark chocolate (small piece) is contains more protein to keep you full compared to double poori.
spicy schezwan rice,baked fish,baked fish is reduced oil and lighter on the stomach compared to spicy schezwan rice.
veg biryani,baked samosa,baked samosa is contains more protein to keep you full compared to veg biryani.
small packaged juice,coconut water,coconut water is fermented or dairy option aids digestion compared to small packaged juice.
nachos,plain vegetable khichdi,plain vegetable khichdi is baked or steamed instead of deep-fried compared to nachos.
double sweet lassi,whole wheat roti,whole wheat roti is lower in saturated fat and calories compared to double sweet lassi.
family pack tortilla chips,roasted chana,roasted chana is higher in fiber which improves satiety compared to family pack tortilla chips.
spicy sugarcane juice,moong chilla,moong chilla is baked or steamed instead of deep-fried compared to spicy sugarcane juice.
butter popcorn butter,sprouts salad,sprouts salad is includes more vegetables and micronutrients compared to butter popcorn butter.
barfi,lemon water,lemon water is includes more vegetables and micronutrients compared to barfi.
halwa,light poha (less oil),light poha (less oil) is lower sodium content supports heart health compared to halwa.
milkshake,baked sweet potato,baked sweet potato is whole grains provide sustained energy compared to milkshake.
chips,steamed steamed idli,steamed steamed idli is higher in fiber which improves satiety compared to chips.
extra cheese mutton biryani,greek yogurt,greek yogurt is higher in fiber which improves satiety compared to extra cheese mutton biryani.
chips,coconut water,coconut water is whole grains provide sustained energy compared to chips.
kathi roll,tofu stir-fry,tofu stir-fry is higher in fiber which improves satiety compared to kathi roll.
garlic kathi roll,buttermilk,buttermilk is contains more protein to keep you full compared to garlic kathi roll.
extra cheese shawarma,cucumber salad,cucumber salad is reduced oil and lighter on the stomach compared to extra cheese shawarma.
schezwan rice,steamed herbal tea,steamed herbal tea is higher in fiber which improves satiety compared to schezwan rice.
loaded doughnut,steamed dal fry (less oil),steamed dal fry (less oil) is higher in fiber which improves satiety compared to loaded doughnut.
packaged juice,millet roti,millet roti is whole grains provide sustained energy compared to packaged juice.
garlic hakka noodles,brown rice,brown rice is reduced oil and lighter on the stomach compared to garlic hakka noodles.
loaded brownie sundae,steamed cucumber salad,steamed cucumber salad is whole grains provide sustained energy compared to loaded brownie sundae.
poori,chaas,chaas is baked or steamed instead of deep-fried compared to poori.
butter chicken,light coconut water,light coconut water is includes more vegetables and micronutrients compared to butter chicken.
cheesecake,steamed tofu tikka,steamed tofu tikka is higher in fiber which improves satiety compared to cheesecake.
rasgulla,light grilled chicken,light grilled chicken is baked or steamed instead of deep-fried compared to rasgulla.
samosa,vegetable soup,vegetable soup is baked or steamed instead of deep-fried compared to samosa.
butter kulfi,plain poha (less oil),plain poha (less oil) is lower sodium content supports heart health compared to butter kulfi.
large paneer tikka pizza,lemon water,lemon water is contains more protein to keep you full compared to large paneer tikka pizza.
double kaju katli,cucumber salad,cucumber salad is includes more vegetables and micronutrients compared to double kaju katli.
chole bhature,unsweetened dal fry (less oil),unsweetened dal fry (less oil) is whole grains provide sustained energy compared to chole bhature.
loaded fries,dark chocolate (small piece),dark chocolate (small piece) is contains more protein to keep you full compared to loaded fries.
instant noodles,brown rice,brown rice is whole grains provide sustained energy compared to instant noodles.
paneer tikka pizza,hand-pounded rice,hand-pounded rice is less sugar and better for blood glucose control compared to paneer tikka pizza.
schezwan rice,multigrain roti,multigrain roti is includes more vegetables and micronutrients compared to schezwan rice.
pav bhaji,cucumber salad,cucumber salad is lower in saturated fat and calories compared to pav bhaji.
butter veg biryani,buttermilk,buttermilk is lower in saturated fat and calories compared to butter veg biryani.
family pack peda,no sugar dal fry (less oil),no sugar dal fry (less oil) is fermented or dairy option aids digestion compared to family pack peda.
falooda,stir-fried veggies,stir-fried veggies is lower in saturated fat and calories compared to falooda.
butter brownie sundae,tofu stir-fry,tofu stir-fry is lower in saturated fat and calories compared to butter brownie sundae.
loaded maggi noodles,homestyle grilled chicken,homestyle grilled chicken is contains more protein to keep you full compared to loaded maggi noodles.
doughnut,quinoa,quinoa is includes more vegetables and micronutrients compared to doughnut.
large poori,roasted veggies,roasted veggies is contains more protein to keep you full compared to large poori.
family pack orange soda,green tea,green tea is baked or steamed instead of deep-fried compared to family pack orange soda.
packaged juice,light cucumber salad,light cucumber salad is contains more protein to keep you full compared to packaged juice.
peda,poha (less oil),poha (less oil) is fermented or dairy option aids digestion compared to peda.
butter packaged juice,steamed lemon water,steamed lemon water is fermented or dairy option aids digestion compared to butter packaged juice.
extra cheese sweetened yogurt,homestyle brown rice,homestyle brown rice is fermented or dairy option aids digestion compared to extra cheese sweetened yogurt.
energy drink,brown rice,brown rice is higher in fiber which improves satiety compared to energy drink.
spicy jalebi,light air-popped popcorn,light air-popped popcorn is higher in fiber which improves satiety compared to spicy jalebi.
pani puri,baked phulka (no oil),baked phulka (no oil) is fermented or dairy option aids digestion compared to pani puri.
misal pav,light poha (less oil),light poha (less oil) is contains more protein to keep you full compared to misal pav.
cheese fries,chaas,chaas is lower sodium content supports heart health compared to cheese fries.
garlic orange soda,vegetable upma,vegetable upma is baked or steamed instead of deep-fried compared to garlic orange soda.
kulcha,plain khichdi,plain khichdi is less sugar and better for blood glucose control compared to kulcha.
double chips,millet roti,millet roti is fermented or dairy option aids digestion compared to double chips.
lachha paratha,oats dosa,oats dosa is lower sodium content supports heart health compared to lachha paratha.
garlic kulfi,nuts mix (unsalted),nuts mix (unsalted) is reduced oil and lighter on the stomach compared to garlic kulfi.
falooda,dark chocolate (small piece),dark chocolate (small piece) is lower sodium content supports heart health compared to falooda.
bhujia,homestyle greek yogurt,homestyle greek yogurt is lower in saturated fat and calories compared to bhujia.
masala jalebi,unsweetened buttermilk,unsweetened buttermilk is whole grains provide sustained energy compared to masala jalebi.
kachori,steamed sauteed greens,steamed sauteed greens is lower in saturated fat and calories compared to kachori.
popcorn butter,no butter greek yogurt,no butter greek yogurt is lower in saturated fat and calories compared to popcorn butter.
gulab jamun,roasted veggies,roasted veggies is lower sodium content supports heart health compared to gulab jamun.
double garlic bread,baked fish,baked fish is contains more protein to keep you full compared to double garlic bread.
poori,unsweetened phulka (no oil),unsweetened phulka (no oil) is contains more protein to keep you full compared to poori.
butter falooda,vegetable upma,vegetable upma is lower sodium content supports heart health compared to butter falooda.
chicken nuggets,dal tadka,dal tadka is contains more protein to keep you full compared to chicken nuggets.
cheeseburger,grilled low-fat yogurt,grilled low-fat yogurt is less sugar and better for blood glucose control compared to cheeseburger.
butter kulfi,no butter grilled chicken,no butter grilled chicken is whole grains provide sustained energy compared to butter kulfi.
masala fried chicken,phulka (no oil),phulka (no oil) is contains more protein to keep you full compared to masala fried chicken.
misal pav,stir-fried veggies,stir-fried veggies is baked or steamed instead of deep-fried compared to misal pav.
packaged juice,homestyle whole wheat roti,homestyle whole wheat roti is includes more vegetables and micronutrients compared to packaged juice.
double orange soda,tofu stir-fry,tofu stir-fry is baked or steamed instead of deep-fried compared to double orange soda.
garlic cake,light vegetable khichdi,light vegetable khichdi is reduced oil and lighter on the stomach compared to garlic cake.
masala butter dosa,sauteed greens,sauteed greens is fermented or dairy option aids digestion compared to masala butter dosa.
manchurian,plain moong chilla,plain moong chilla is contains more protein to keep you full compared to manchurian.
family pack halwa,green tea,green tea is higher in fiber which improves satiety compared to family pack halwa.
regular sugarcane juice,tandoori chicken,tandoori chicken is less sugar and better for blood glucose control compared to regular sugarcane juice.
extra cheese ice cream,no butter dark chocolate (small piece),no butter dark chocolate (small piece) is baked or steamed instead of deep-fried compared to extra cheese ice cream.
kathi roll,roasted chana,roasted chana is lower in saturated fat and calories compared to kathi roll.
kheer,unsweetened roasted chana,unsweetened roasted chana is fermented or dairy option aids digestion compared to kheer.
kathi roll,oats dosa,oats dosa is higher in fiber which improves satiety compared to kathi roll.
momos fried,baked fish,baked fish is higher in fiber which improves satiety compared to momos fried.
bhatura,dal fry (less oil),dal fry (less oil) is lower in saturated fat and calories compared to bhatura.
laddu,buttermilk,buttermilk is lower in saturated fat and calories compared to laddu.
family pack cheese fries,cucumber salad,cucumber salad is lower sodium content supports heart health compared to family pack cheese fries.
momos fried,no sugar phulka (no oil),no sugar phulka (no oil) is baked or steamed instead of deep-fried compared to momos fried.
bhatura,baked sweet potato,baked sweet potato is lower sodium content supports heart health compared to bhatura.
pani puri,plain khichdi,plain khichdi is higher in fiber which improves satiety compared to pani puri.
regular noodles,no butter oats upma,no butter oats upma is whole grains provide sustained energy compared to regular noodles.
sugarcane juice,tofu tikka,tofu tikka is reduced oil and lighter on the stomach compared to sugarcane juice.
chicken biryani,light quinoa,light quinoa is lower sodium content supports heart health compared to chicken biryani.
cheese dosa,homestyle plain khichdi,homestyle plain khichdi is includes more vegetables and micronutrients compared to cheese dosa.
dal makhani,stir-fried veggies,stir-fried veggies is whole grains provide sustained energy compared to dal makhani.
samosa,whole wheat roti,whole wheat roti is reduced oil and lighter on the stomach compared to samosa.
pepperoni pizza,cucumber salad,cucumber salad is contains more protein to keep you full compared to pepperoni pizza.
loaded vada pav,homestyle buttermilk,homestyle buttermilk is lower in saturated fat and calories compared to loaded vada pav.
family pack pav bhaji,stir-fried veggies,stir-fried veggies is less sugar and better for blood glucose control compared to family pack pav bhaji.
rasgulla,grilled nuts mix (unsalted),grilled nuts mix (unsalted) is lower sodium content supports heart health compared to rasgulla.
lachha paratha,black coffee (no sugar),black coffee (no sugar) is includes more vegetables and micronutrients compared to lachha paratha.
paneer butter masala,whole wheat roti,whole wheat roti is reduced oil and lighter on the stomach compared to paneer butter masala.
regular sugarcane juice,grilled tofu tikka,grilled tofu tikka is includes more vegetables and micronutrients compared to regular sugarcane juice.
packaged juice,no butter millet roti,no butter millet roti is lower sodium content supports heart health compared to packaged juice.
sev puri,plain dosa,plain dosa is lower in saturated fat and calories compared to sev puri.
brownie,air-popped popcorn,air-popped popcorn is fermented or dairy option aids digestion compared to brownie.
loaded pani puri,buttermilk,buttermilk is contains more protein to keep you full compared to loaded pani puri.
chocolate ice cream,steamed lemon water,steamed lemon water is lower sodium content supports heart health compared to chocolate ice cream.
nachos,light stir-fried veggies,light stir-fried veggies is fermented or dairy option aids digestion compared to nachos.
small chips,no butter quinoa,no butter quinoa is whole grains provide sustained energy compared to small chips.
small bhujia,homestyle grilled fish,homestyle grilled fish is whole grains provide sustained energy compared to small bhujia.
butter paneer butter masala,no butter greek yogurt,no butter greek yogurt is lower sodium content supports heart health compared to butter paneer butter masala.
dal makhani,baked fish,baked fish is reduced oil and lighter on the stomach compared to dal makhani.
brownie sundae,homestyle buttermilk,homestyle buttermilk is includes more vegetables and micronutrients compared to brownie sundae.
double nachos,paneer tikka,paneer tikka is includes more vegetables and micronutrients compared to double nachos.
chicken nuggets,tofu tikka,tofu tikka is whole grains provide sustained energy compared to chicken nuggets.
paneer butter masala,grilled brown rice,grilled brown rice is reduced oil and lighter on the stomach compared to paneer butter masala.
fried chicken,sprouts salad,sprouts salad is lower in saturated fat and calories compared to fried chicken.
cola,grilled chicken,grilled chicken is lower sodium content supports heart health compared to cola.
double chips,steamed buttermilk,steamed buttermilk is lower sodium content supports heart health compared to double chips.
cola,low-oil baked samosa,low-oil baked samosa is less sugar and better for blood glucose control compared to cola.
large poori,sprouts salad,sprouts salad is includes more vegetables and micronutrients compared to large poori.
peda,green tea,green tea is contains more protein to keep you full compared to peda.
family pack butter naan,homestyle multigrain roti,homestyle multigrain roti is includes more vegetables and micronutrients compared to family pack butter naan.
double cheese pizza,greek yogurt,greek yogurt is fermented or dairy option aids digestion compared to double cheese pizza.
small pav bhaji,sattu drink (unsweetened),sattu drink (unsweetened) is higher in fiber which improves satiety compared to small pav bhaji.
masala cheese paratha,steamed roasted veggies,steamed roasted veggies is whole grains provide sustained energy compared to masala cheese paratha.
small loaded fries,baked samosa,baked samosa is lower sodium content supports heart health compared to small loaded fries.
maggi noodles,sprouts salad,sprouts salad is whole grains provide sustained energy compared to maggi noodles.
garlic bread,sweet potato chaat,sweet potato chaat is lower in saturated fat and calories compared to garlic bread.
butter ice cream,steamed green tea,steamed green tea is lower in saturated fat and calories compared to butter ice cream.
butter chocolate ice cream,no sugar black coffee (no sugar),no sugar black coffee (no sugar) is fermented or dairy option aids digestion compared to butter chocolate ice cream.
sugarcane juice,green tea,green tea is includes more vegetables and micronutrients compared to sugarcane juice.
butter ramen with pork,baked vegetable soup,baked vegetable soup is lower sodium content supports heart health compared to butter ramen with pork.
cheese dosa,poha (less oil),poha (less oil) is baked or steamed instead of deep-fried compared to cheese dosa.
butter peda,dal fry (less oil),dal fry (less oil) is whole grains provide sustained energy compared to butter peda.
shawarma,no sugar buttermilk,no sugar buttermilk is higher in fiber which improves satiety compared to shawarma.
packaged juice,roasted chana,roasted chana is reduced oil and lighter on the stomach compared to packaged juice.
butter naan,grilled tandoori chicken,grilled tandoori chicken is contains more protein to keep you full compared to butter naan.
garlic rasmalai,cucumber salad,cucumber salad is lower in saturated fat and calories compared to garlic rasmalai.
poori,unsweetened plain khichdi,unsweetened plain khichdi is whole grains provide sustained energy compared to poori.
ramen with pork,vegetable soup,vegetable soup is higher in fiber which improves satiety compared to ramen with pork.
rasgulla,grilled hand-pounded rice,grilled hand-pounded rice is whole grains provide sustained energy compared to rasgulla.
chicken nuggets,millet roti,millet roti is includes more vegetables and micronutrients compared to chicken nuggets.
ice cream,homestyle greek yogurt,homestyle greek yogurt is fermented or dairy option aids digestion compared to ice cream.
family pack misal pav,vegetable soup,vegetable soup is higher in fiber which improves satiety compared to family pack misal pav.
double cheese pizza,whole wheat roti,whole wheat roti is reduced oil and lighter on the stomach compared to double cheese pizza.
momos fried,no sugar dal fry (less oil),no sugar dal fry (less oil) is fermented or dairy option aids digestion compared to momos fried.
cola,lemon water,lemon water is lower sodium content supports heart health compared to cola.
halwa,homestyle tofu stir-fry,homestyle tofu stir-fry is contains more protein to keep you full compared to halwa.
nachos,unsweetened phulka (no oil),unsweetened phulka (no oil) is baked or steamed instead of deep-fried compared to nachos.
kaju katli,steamed baked samosa,steamed baked samosa is whole grains provide sustained energy compared to kaju katli.
kheer,greek yogurt,greek yogurt is contains more protein to keep you full compared to kheer.
cake,vegetable khichdi,vegetable khichdi is baked or steamed instead of deep-fried compared to cake.
kulfi,unsweetened grilled fish,unsweetened grilled fish is lower in saturated fat and calories compared to kulfi.
garlic bread,whole wheat roti,whole wheat roti is higher in fiber which improves satiety compared to garlic bread.
loaded nachos,low-oil moong chilla,low-oil moong chilla is whole grains provide sustained energy compared to loaded nachos.
schezwan rice,buttermilk,buttermilk is reduced oil and lighter on the stomach compared to schezwan rice.
hakka noodles,green tea,green tea is fermented or dairy option aids digestion compared to hakka noodles.
kheer,greek yogurt,greek yogurt is lower sodium content supports heart health compared to kheer.
chicken biryani,lemon water,lemon water is whole grains provide sustained energy compared to chicken biryani.
butter tortilla chips,light green tea,light green tea is higher in fiber which improves satiety compared to butter tortilla chips.
